x = -57.91173, y = -27.25878, z = -17.22461, angle = -110.0368, collision = h1070B1
x = -35.38012, y = -13.5162, z = -75.46487, angle = 79.78769, collision = h1100B1
x = -35.61132, y = -13.49432, z = -77.11984, angle = -159.11, collision = h1100B1
x = -35.05276, y = -13.51222, z = -74.40053, angle = -147.2393, collision = h1100B1
x = -32.09256, y = -13.51758, z = -72.49464, angle = 90.57048, collision = h1100B1
x = -31.01343, y = -13.52324, z = -72.91729, angle = -110.3499, collision = h1100B1
x = -31.66788, y = -13.52349, z = -73.7748, angle = -101.8173, collision = h1100B1
x = -29.94234, y = -13.51434, z = -72.87585, angle = -70.72407, collision = h1100B1
x = -27.26516, y = -13.50286, z = -74.11574, angle = 64.53783, collision = h1100B1
x = -31.34155, y = -13.52822, z = -74.81297, angle = -66.86588, collision = h1100B1
x = -30.32701, y = -13.5343, z = -75.22112, angle = -67.71064, collision = h1100B1
x = -29.89522, y = -14.10715, z = -75.93968, angle = 50.85868, collision = h1050B1
x = -30.30132, y = -14.69617, z = -76.69702, angle = 16.09753, collision = h1050B1
x = -30.88309, y = -15.25535, z = -77.25056, angle = 40.16127, collision = h1050B1
x = -31.4693, y = -15.89242, z = -77.9362, angle = 39.26575, collision = h1050B1
x = -31.98487, y = -16.46828, z = -78.56799, angle = 39.6731, collision = h1050B1
x = -32.51958, y = -16.77419, z = -79.62669, angle = 44.42789, collision = h1050B1
x = -32.98552, y = -16.77419, z = -78.5537, angle = 98.11166, collision = h1050B1
x = -34.07003, y = -16.77419, z = -78.6462, angle = 118.3309, collision = h1050B1
x = -35.00802, y = -17.29012, z = -78.00505, angle = 129.9741, collision = h1050B1
x = -36.03195, y = -18.04193, z = -77.53151, angle = 104.3527, collision = h1050B1
x = -36.9205, y = -18.63202, z = -77.29971, angle = 111.6346, collision = h1050B1
x = -37.63914, y = -19.25518, z = -76.79473, angle = 157.6533, collision = h1050B1
x = -38.03182, y = -19.80412, z = -75.80817, angle = 172.0024, collision = h1050B1
x = -38.29194, y = -19.80408, z = -74.68961, angle = 110.1271, collision = h1050B1
x = -39.36555, y = -19.80401, z = -73.857, angle = -153.0599, collision = h1050B1
x = -38.68023, y = -19.80404, z = -72.76744, angle = -94.51647, collision = h1050B1
x = -37.62322, y = -19.80405, z = -72.92657, angle = -57.99532, collision = h1050B1
x = -36.87183, y = -19.80411, z = -73.66612, angle = -47.13906, collision = h1050B1
x = -36.00061, y = -19.80416, z = -74.44629, angle = -43.3182, collision = h1050B1
x = -35.08928, y = -19.80423, z = -75.45087, angle = -41.70449, collision = h1050B1
x = -34.15343, y = -19.80429, z = -76.46557, angle = -56.88492, collision = h1050B1
x = -33.2134, y = -19.72789, z = -76.81715, angle = -128.7898, collision = h1050B1
x = -32.88697, y = -19.80432, z = -75.77224, angle = 120.1541, collision = h1050B1
x = -33.81117, y = -19.80427, z = -75.19788, angle = 119.9659, collision = h1050B1
x = -36.81439, y = -19.8041, z = -71.97133, angle = -49.70074, collision = h1050B1
x = -35.94968, y = -19.80411, z = -72.56963, angle = -49.9139, collision = h1050B1
x = -34.9057, y = -19.80418, z = -73.46786, angle = -50.2935, collision = h1050B1
x = -31.99092, y = -19.73446, z = -75.30994, angle = 171.9148, collision = h1050B1
x = -32.26702, y = -19.8043, z = -74.13967, angle = 120.0303, collision = h1050B1
x = -33.48145, y = -19.80423, z = -73.45429, angle = 113.2713, collision = h1050B1
x = -35.81502, y = -19.80414, z = -71.41866, angle = -47.11553, collision = h1050B1
x = -34.86635, y = -19.80414, z = -72.13136, angle = -34.34385, collision = h1050B1
x = -31.71653, y = -19.80429, z = -72.93281, angle = -163.363, collision = h1050B1
x = -31.62595, y = -19.80425, z = -71.6208, angle = 113.7829, collision = h1050B1
x = -32.8518, y = -19.80419, z = -71.07966, angle = 89.53403, collision = h1050B1
x = -33.92171, y = -19.80416, z = -71.05784, angle = 124.646, collision = h1050B1
x = -34.65794, y = -19.80422, z = -70.23695, angle = -132.6636, collision = h1050B1
x = -33.645, y = -19.80426, z = -69.74722, angle = -10.17851, collision = h1050B1
x = -32.53905, y = -19.80423, z = -72.06794, angle = 157.3197, collision = h1050B1
x = -30.53005, y = -19.80452, z = -72.38741, angle = -61.3853, collision = h1050B1
x = -29.48087, y = -19.80492, z = -73.01936, angle = -28.3141, collision = h1050B1
x = -28.79545, y = -19.80478, z = -73.75925, angle = -26.83722, collision = h1050B1
x = -28.12644, y = -19.80459, z = -74.92875, angle = -4.008843, collision = h1050B1
x = -27.53057, y = -19.80461, z = -74.01802, angle = -140.0474, collision = h1050B1
x = -39.73396, y = -19.80444, z = -72.42049, angle = 118.9157, collision = h1100B1
x = -40.75384, y = -19.80448, z = -71.9922, angle = 116.3999, collision = h1100B1
x = -41.83631, y = -19.80448, z = -71.76101, angle = 114.5684, collision = h1100B1
x = -42.75056, y = -19.80448, z = -71.30956, angle = 119.042, collision = h1100B1
x = -43.94561, y = -19.80448, z = -70.63083, angle = 128.1362, collision = h1100B1
x = -44.1889, y = -19.80448, z = -69.57055, angle = -152.472, collision = h1100B1
x = -43.12746, y = -19.80448, z = -69.5414, angle = -125.92, collision = h1100B1
x = -42.34887, y = -19.80448, z = -68.85297, angle = -149.3278, collision = h1100B1
x = -41.65, y = -19.80448, z = -67.66552, angle = -155.969, collision = h1100B1
x = -41.11821, y = -19.80448, z = -66.4538, angle = -154.9274, collision = h1100B1
x = -40.19487, y = -19.80448, z = -65.77022, angle = -91.87233, collision = h1100B1
x = -39.19077, y = -19.80448, z = -65.34661, angle = 27.28053, collision = h1100B1
x = -40.25576, y = -19.80448, z = -67.18661, angle = -48.56333, collision = h1100B1
x = -39.33298, y = -19.80448, z = -67.58309, angle = -138.9728, collision = h1100B1
x = -38.86101, y = -19.80448, z = -66.63414, angle = -137.4057, collision = h1100B1
x = -38.47445, y = -19.80448, z = -68.24783, angle = -118.1078, collision = h1100B1
x = -37.85102, y = -19.80448, z = -66.54118, angle = -52.07693, collision = h1100B1
x = -36.91706, y = -19.80448, z = -66.90152, angle = -152.5487, collision = h1100B1
x = -37.05832, y = -19.80448, z = -65.88464, angle = 110.456, collision = h1100B1
x = -39.80381, y = -19.80448, z = -68.48391, angle = 8.450542, collision = h1100B1
x = -41.27737, y = -19.80448, z = -68.87189, angle = -55.06109, collision = h1100B1
x = -40.56256, y = -19.80448, z = -69.60188, angle = -31.14983, collision = h1100B1
x = -40.04584, y = -19.80448, z = -71.17912, angle = 156.2793, collision = h1100B1
x = -30.59108, y = -19.80438, z = -70.96684, angle = -138.2026, collision = h1051B1
x = -29.85849, y = -19.65577, z = -70.18446, angle = -170.2729, collision = h1051B1
x = -29.59195, y = -19.65577, z = -68.85463, angle = -146.0791, collision = h1051B1
x = -28.64926, y = -19.65577, z = -69.46474, angle = 3.741742, collision = h1051B1
x = -28.78304, y = -19.65577, z = -70.48308, angle = -100.7691, collision = h1051B1
x = -27.63391, y = -19.65577, z = -68.83395, angle = -164.411, collision = h1051B1
x = -27.53045, y = -19.65577, z = -67.55298, angle = 111.7095, collision = h1051B1
x = -28.44787, y = -19.58928, z = -66.7048, angle = -97.82489, collision = h1051B1
x = -27.57376, y = -19.65577, z = -66.11333, angle = -76.40651, collision = h1051B1
x = -26.20645, y = -19.65577, z = -66.2675, angle = -153.8831, collision = h1051B1
x = -25.92569, y = -19.65577, z = -65.09632, angle = 159.2338, collision = h1051B1
x = -25.88508, y = -19.65577, z = -63.90879, angle = -56.89852, collision = h1051B1
x = -24.80433, y = -19.60784, z = -63.70937, angle = -147.5836, collision = h1051B1
x = -23.96654, y = -19.62005, z = -62.62116, angle = -121.7042, collision = h1051B1
x = -22.80346, y = -19.62005, z = -62.4962, angle = -24.2655, collision = h1051B1
x = -23.48369, y = -19.62005, z = -61.55535, angle = 137.6169, collision = h1051B1
x = -24.3833, y = -19.62005, z = -61.10885, angle = 81.90727, collision = h1051B1
x = -25.43011, y = -19.63795, z = -61.08003, angle = 150.3871, collision = h1051B1
x = -25.95817, y = -20.19362, z = -60.33954, angle = 140.6406, collision = h1051B1
x = -26.49992, y = -20.78723, z = -59.60037, angle = 177.5753, collision = h1051B1
x = -26.94981, y = -21.35563, z = -58.81142, angle = 123.649, collision = h1051B1
x = -27.74662, y = -21.93872, z = -58.40556, angle = 96.63392, collision = h1051B1
x = -28.80298, y = -22.55236, z = -58.23797, angle = 116.6472, collision = h1051B1
x = -29.59711, y = -23.12247, z = -57.8591, angle = 166.7494, collision = h1051B1
x = -29.86862, y = -23.63805, z = -56.98412, angle = 136.6912, collision = h1051B1
x = -30.83509, y = -24.08363, z = -56.14304, angle = 83.54369, collision = h1099B1
x = -31.89725, y = -24.22985, z = -55.91544, angle = 158.243, collision = h1099B1
x = -32.29787, y = -24.24979, z = -54.96746, angle = 146.4311, collision = h1099B1
x = -32.66094, y = -24.27055, z = -53.91439, angle = 166.624, collision = h1099B1
x = -32.79495, y = -24.29056, z = -52.77843, angle = -165.2063, collision = h1099B1
x = -32.28369, y = -24.29937, z = -51.77057, angle = -141.1289, collision = h1099B1
x = -32.97498, y = -24.32405, z = -50.94837, angle = 45.50876, collision = h1099B1
x = -33.69466, y = -24.32145, z = -51.78138, angle = 29.72869, collision = h1099B1
x = -34.53703, y = -24.31742, z = -52.82774, angle = 92.97391, collision = h1099B1
x = -35.41814, y = -24.34237, z = -52.15596, angle = -137.4394, collision = h1099B1
x = -33.81651, y = -24.35245, z = -50.04547, angle = 105.6339, collision = h1099B1
x = -34.89346, y = -24.36923, z = -50.05784, angle = 25.98356, collision = h1099B1
x = -35.9797, y = -24.36549, z = -51.30428, angle = 153.5729, collision = h1099B1
x = -36.30468, y = -24.39, z = -50.14714, angle = -115.2889, collision = h1099B1
x = -34.99763, y = -24.39568, z = -48.58554, angle = 114.3551, collision = h1099B1
x = -36.12576, y = -24.4139, z = -48.55185, angle = 28.73236, collision = h1099B1
x = -37.39335, y = -24.41735, z = -49.53986, angle = 133.9637, collision = h1099B1
x = -38.0982, y = -24.44535, z = -48.51101, angle = -136.9305, collision = h1099B1
x = -37.0861, y = -24.44316, z = -47.70976, angle = -142.5695, collision = h1099B1
x = -39.09787, y = -24.4722, z = -47.80047, angle = 157.5963, collision = h1099B1
x = -39.38956, y = -24.49814, z = -46.53502, angle = -113.2274, collision = h1099B1
x = -40.28247, y = -24.51216, z = -46.01804, angle = 138.8303, collision = h1099B1
x = -39.86853, y = -24.53047, z = -44.92785, angle = -123.7743, collision = h1099B1
x = -40.53405, y = -24.53047, z = -44.14078, angle = 119.7246, collision = h1099B1
x = -41.59821, y = -24.53047, z = -43.53279, angle = 119.9525, collision = h1099B1
x = -42.16793, y = -24.53047, z = -42.37546, angle = 115.806, collision = h1099B1
x = -43.26388, y = -24.53047, z = -42.05032, angle = 84.78624, collision = h1099B1
x = -41.5504, y = -24.53047, z = -45.61173, angle = 150.2186, collision = h1099B1
x = -42.14943, y = -24.53047, z = -44.72897, angle = 150.0642, collision = h1099B1
x = -42.8328, y = -24.53047, z = -43.52541, angle = 153.1326, collision = h1099B1
x = -44.56268, y = -24.53047, z = -42.16902, angle = 174.222, collision = h1099B1
x = -44.56839, y = -24.53047, z = -41.13099, angle = -89.35751, collision = h1099B1
x = -45.14948, y = -12.55552, z = -39.66265, angle = 145.5022, collision = h1099B1
x = -45.89753, y = -12.85072, z = -38.99071, angle = 79.02721, collision = h1099B1
x = -46.8035, y = -13.05038, z = -38.31741, angle = 141.8685, collision = h1099B1
x = -47.09529, y = -13.27547, z = -37.17687, angle = 174.6885, collision = h1099B1
x = -47.29229, y = -13.49203, z = -36.03578, angle = 146.0666, collision = h1099B1
x = -48.01656, y = -13.71725, z = -35.12066, angle = 140.518, collision = h1099B1
x = -48.69012, y = -13.93941, z = -34.23878, angle = 165.6827, collision = h1099B1
x = -48.06021, y = -14.0345, z = -33.43262, angle = -95.43623, collision = h1099B1
x = -46.79057, y = -14.04854, z = -32.76329, angle = -114.957, collision = h1099B1
x = -45.58717, y = -14.0665, z = -32.10382, angle = -131.0787, collision = h1099B1
x = -44.41105, y = -14.07806, z = -31.49157, angle = -80.19991, collision = h1099B1
x = -43.09999, y = -13.89779, z = -31.84823, angle = -38.86237, collision = h1099B1
x = -42.48733, y = -13.63072, z = -32.9985, angle = 5.048234, collision = h1099B1
x = -42.27191, y = -13.38351, z = -34.22771, angle = -51.53158, collision = h1099B1
x = -41.49879, y = -13.1964, z = -34.87145, angle = 5.832626, collision = h1099B1
x = -41.8218, y = -12.99907, z = -36.08546, angle = 58.33947, collision = h1099B1
x = -43.10689, y = -12.97895, z = -36.79139, angle = 75.03168, collision = h1099B1
x = -44.45819, y = -13.05024, z = -37.09209, angle = 44.81951, collision = h1099B1
x = -45.44961, y = -12.98568, z = -37.98126, angle = 37.81181, collision = h1099B1
x = -46.07947, y = -13.20192, z = -37.06831, angle = -163.6513, collision = h1099B1
x = -45.83247, y = -13.35841, z = -36.04021, angle = 114.7535, collision = h1099B1
x = -43.43738, y = -12.83665, z = -37.78538, angle = -136.3451, collision = h1099B1
x = -43.44521, y = -13.352, z = -34.94598, angle = 59.78629, collision = h1099B1
x = -44.63197, y = -13.32687, z = -35.63624, angle = 57.11366, collision = h1099B1
x = -45.92321, y = -13.56423, z = -34.96317, angle = -118.2707, collision = h1099B1
x = -44.71776, y = -13.56746, z = -34.38197, angle = -40.3864, collision = h1099B1
x = -44.37192, y = -13.81877, z = -32.86824, angle = -37.61508, collision = h1099B1
x = -43.80288, y = -13.60588, z = -33.74738, angle = -26.66771, collision = h1099B1
x = -45.70308, y = -13.78654, z = -33.66419, angle = 138.4739, collision = h1099B1
x = -42.32439, y = -12.77966, z = -37.53091, angle = -107.0084, collision = h1099B1
x = -45.15657, y = -14.32273, z = -30.52391, angle = 153.6765, collision = h1097B1
x = -48.38724, y = -18.67404, z = -25.81414, angle = 153.6765, collision = h1097B1
x = -48.1257, y = -18.67404, z = -24.70185, angle = 146.1398, collision = h1097B1
x = -48.7798, y = -18.81999, z = -23.73761, angle = 155.938, collision = h1046B1
x = -48.80339, y = -18.81999, z = -22.71587, angle = -145.6604, collision = h1046B1
x = -47.82351, y = -18.81999, z = -22.04704, angle = -118.9934, collision = h1046B1
x = -48.63646, y = -18.81999, z = -21.36658, angle = -157.7508, collision = h1046B1
x = -48.08102, y = -18.81999, z = -20.10748, angle = -163.9489, collision = h1046B1
x = -47.86594, y = -18.81999, z = -19.09905, angle = 139.7305, collision = h1046B1
x = -48.7361, y = -18.81999, z = -18.0382, angle = 135.8362, collision = h1046B1
x = -49.75382, y = -18.81999, z = -17.12111, angle = 107.0793, collision = h1046B1
x = -51.06621, y = -18.81999, z = -16.70496, angle = 102.334, collision = h1046B1
x = -52.34679, y = -18.81999, z = -16.23827, angle = 104.9541, collision = h1046B1
x = -53.36128, y = -18.81999, z = -16.56554, angle = 12.56445, collision = h1046B1
x = -53.06294, y = -18.81999, z = -17.53834, angle = -46.3192, collision = h1046B1
x = -52.39252, y = -18.81999, z = -18.50201, angle = -42.38307, collision = h1046B1
x = -51.7995, y = -18.81999, z = -19.4152, angle = -16.8036, collision = h1046B1
x = -51.47964, y = -18.81999, z = -20.36514, angle = -24.58215, collision = h1046B1
x = -50.97507, y = -18.81999, z = -21.37059, angle = -49.69752, collision = h1046B1
x = -50.07748, y = -18.81999, z = -22.13766, angle = -50.54616, collision = h1046B1
x = -49.64799, y = -18.81999, z = -20.70469, angle = 138.9645, collision = h1046B1
x = -50.5481, y = -18.81999, z = -19.66138, angle = 144.7753, collision = h1046B1
x = -50.62973, y = -18.81999, z = -17.87546, angle = -36.09771, collision = h1046B1
x = -49.55513, y = -18.81999, z = -19.36824, angle = -34.4268, collision = h1046B1
x = -54.51997, y = -18.81999, z = -16.69168, angle = 75.27739, collision = h1046B1
x = -55.64087, y = -18.23396, z = -17.38416, angle = 62.64124, collision = h1046B1
x = -56.79366, y = -17.49828, z = -18.12243, angle = 54.73512, collision = h1046B1
x = -57.93881, y = -16.76502, z = -18.88431, angle = 63.74368, collision = h1046B1
x = -58.66752, y = -16.26305, z = -19.62524, angle = 31.72712, collision = h1096B1
x = -59.45399, y = -16.16883, z = -20.35536, angle = 77.18748, collision = h1096B1
x = -58.76987, y = -16.16883, z = -21.26325, angle = -41.76204, collision = h1096B1
x = -58.03669, y = -16.16883, z = -22.17027, angle = -27.38054, collision = h1096B1
x = -57.4442, y = -16.16883, z = -23.29378, angle = -29.10106, collision = h1096B1
x = -56.79464, y = -16.16883, z = -24.50953, angle = -37.13768, collision = h1096B1
x = -55.99168, y = -16.16883, z = -25.62559, angle = -38.44558, collision = h1096B1
x = -55.12332, y = -16.16883, z = -26.68867, angle = -50.48064, collision = h1096B1
x = -60.2207, y = -16.16883, z = -19.14507, angle = -160.7352, collision = h1096B1
x = -59.97711, y = -16.16883, z = -18.13845, angle = -143.4415, collision = h1096B1
x = -59.06857, y = -16.16883, z = -17.53334, angle = -113.4596, collision = h1096B1
x = -58.0393, y = -16.16883, z = -17.06004, angle = -114.6154, collision = h1096B1
x = -56.79496, y = -16.16883, z = -16.47489, angle = -114.7072, collision = h1096B1
x = -54.1641, y = -18.82835, z = -18.12245, angle = 53.16324, collision = h1046B1
x = -54.88728, y = -19.40224, z = -18.95422, angle = 42.75391, collision = h1046B1
x = -55.78713, y = -19.98437, z = -19.54473, angle = 56.40986, collision = h1046B1
x = -56.50452, y = -20.50413, z = -20.21919, angle = 36.00649, collision = h1046B1
x = -57.11773, y = -20.58215, z = -21.13489, angle = -14.9164, collision = h1046B1
